"Time","Sound pressure level"
1.837117690E2,-4.882779062E1
1.838239011E2,-4.254858298E1
1.839285010E2,-4.349517394E1
1.840410870E2,-4.274226302E1
1.841452590E2,-4.124111502E1
1.842577060E2,-4.801203816E1
1.843678390E2,-4.805018995E1
1.844787380E2,-4.860467618E1
1.845896310E2,-4.900181428E1
1.846955659E2,-4.923692953E1
1.848062440E2,-4.897412368E1
1.849123110E2,-4.870608250E1
1.850228510E2,-4.260225342E1
1.851290650E2,-4.693586475E1
1.852320850E2,-4.761908332E1
1.853393930E2,-4.902555837E1
1.854487439E2,-4.818909097E1
1.855617270E2,-4.374088595E1
1.856781240E2,-4.923809643E1
1.857833440E2,-4.836740304E1
1.858960700E2,-4.866386310E1
1.859986560E2,-4.961282306E1
1.861115800E2,-4.982150327E1
1.862153150E2,-4.467069820E1
1.863281569E2,-4.430389250E1
1.864321650E2,-4.834756004E1
1.865453351E2,-4.993888440E1
1.866616260E2,-3.981263212E1
1.867653270E2,-4.100994235E1
1.868781019E2,-4.818177629E1
1.869837880E2,-4.943616763E1
1.870965370E2,-3.942522953E1
1.872012910E2,-4.447214639E1
1.873134120E2,-4.241848876E1
1.874179540E2,-4.445535106E1
1.875303680E2,-4.836561361E1
1.876346220E2,-4.995298035E1
1.877471180E2,-4.870540215E1
1.878511930E2,-4.309585272E1
1.879637800E2,-4.818229194E1
1.880761070E2,-4.033397884E1
1.881840140E2,-4.047247625E1
1.882968860E2,-4.306269581E1
1.884012750E2,-4.028031122E1
1.885141031E2,-4.489940892E1
1.886178800E2,-4.776952012E1
1.887307860E2,-4.872988048E1
1.888346230E2,-4.877547199E1
1.889474640E2,-4.658532870E1
1.890514040E2,-4.830067151E1
1.891642081E2,-4.849608812E1
1.892680750E2,-4.687568093E1
1.893808050E2,-4.725908689E1
1.894903290E2,-4.903541861E1
1.895980090E2,-4.202009448E1
1.897013710E2,-4.638206820E1
1.898141921E2,-4.618601778E1
1.899180510E2,-5.068710925E1
1.900309200E2,-4.930915431E1
1.901347300E2,-4.541194273E1
1.902475960E2,-4.834567681E1
1.903513200E2,-4.923652095E1
1.904641190E2,-4.984707850E1
